"ArrayTaskID","SampleName","SampleType"
1,"S01","soil0"
2,"S02","soil0"
3,"S03","soil0"
4,"S04","soil1"
5,"S05","soil1"
6,"S06","soil1"
7,"S07","soil3"
8,"S08","soil3"
9,"S09","soil3"
10,"S10","soil6"
11,"S11","soil6"
12,"S12","soil6"
13,"S13","materbi1"
14,"S14","materbi1"
15,"S15","materbi1"
16,"S16","materbi3"
17,"S17","materbi3"
18,"S18","materbi3"
19,"S19","materbi6"
20,"S20","materbi6"
21,"S21","materbi6"
22,"S22","PE1"
23,"S23","PE1"
24,"S24","PE1"
25,"S25","PE3"
26,"S26","PE3"
27,"S27","PE3"
28,"S28","PE6"
29,"S29","PE6"
30,"S30","PE6"
