"ArrayTaskID","SampleName","SampleType"
1,"S01","soil0"
1,"S02","soil0"
1,"S03","soil0"
2,"S04","soil1"
2,"S05","soil1"
2,"S06","soil1"
3,"S07","soil3"
3,"S08","soil3"
3,"S09","soil3"
4,"S10","soil6"
4,"S11","soil6"
4,"S12","soil6"
5,"S13","materbi1"
5,"S14","materbi1"
5,"S15","materbi1"
6,"S16","materbi3"
6,"S17","materbi3"
6,"S18","materbi3"
7,"S19","materbi6"
7,"S20","materbi6"
7,"S21","materbi6"
8,"S22","PE1"
8,"S23","PE1"
8,"S24","PE1"
9,"S25","PE3"
9,"S26","PE3"
9,"S27","PE3"
10,"S28","PE6"
10,"S29","PE6"
10,"S30","PE6"
